,label,area,equivalent_diameter,mean_intensity,filename
0,2,2995,61.75234762,3432.166277,Exo70
1,3,3019,61.99927569,3065.236171,Exo70
2,4,2713,58.77328377,5186.570586,Exo70
3,5,2976,61.55616042,3248.390793,Exo70
4,7,3059,62.40865138,3334.210199,Exo70
5,8,1633,45.59824752,3062.347826,Exo70
6,9,3105,62.87613845,3419.859259,Exo70
7,10,3393,65.72748113,3395.949307,Exo70
8,12,2806,59.77215207,3506.887741,Exo70
9,13,3932,70.75576224,3782.234741,Exo70
10,14,2614,57.6909713,3647.489671,Exo70
11,15,3689,68.53452182,3469.994307,Exo70
12,16,3503,66.78441529,3535.354553,Exo70
13,17,2757,59.24796558,3408.768226,Exo70
14,18,2208,53.02181546,4108.504982,Exo70
15,19,2577,57.28122124,3442.178502,Exo70
16,20,2903,60.79649989,3416.8629,Exo70
17,21,3280,64.62372402,3368.338415,Exo70
18,22,2885,60.60772299,5693.375043,Exo70
19,23,3101,62.83562547,3676.081264,Exo70
20,25,3721,68.83112919,4244.434561,Exo70
21,26,3027,62.08136679,3239.026759,Exo70
22,27,3344,65.25115353,4262.17195,Exo70
23,28,3351,65.319413,3366.743062,Exo70
24,29,2028,50.81466124,3231.414201,Exo70
25,30,3575,67.46726149,3760.969231,Exo70
26,31,2248,53.49992987,3726.986655,Exo70
27,32,3159,63.42053076,4391.102881,Exo70
28,33,3104,62.86601265,3496.393041,Exo70
29,34,3092,62.74437562,3531.543014,Exo70
30,35,1871,48.80810576,5429.881881,Exo70
31,36,2519,56.63294459,4979.301707,Exo70
32,37,3413,65.92091145,3434.392909,Exo70
33,38,979,35.30582833,3740.484168,Exo70
34,39,2302,54.13868702,3427.679844,Exo70
35,42,2706,58.69741228,3461.406135,Exo70
36,45,836,32.62557677,5522.982057,Exo70
37,47,1846,48.48092614,3444.614843,Exo70
38,48,660,28.98858568,3441.419697,Exo70
39,49,1931,49.58452945,5528.963231,Exo70
40,50,1690,46.38722702,3522.36213,Exo70
41,51,2105,51.77035099,3155.459857,Exo70
42,52,2434,55.66924691,3463.503287,Exo70
43,53,2447,55.81771373,3753.094401,Exo70
44,54,2077,51.42488244,3386.071257,Exo70
45,55,1900,49.18490759,3809.167368,Exo70
46,56,2300,54.1151638,3858.78087,Exo70
47,57,2186,52.75700565,3437.42086,Exo70
48,58,3225,64.07961869,3357.125891,Exo70
49,59,2112,51.85635852,5201.106534,Exo70
50,61,3244,64.26810315,3252.847102,Exo70
51,62,2300,54.1151638,3580.107826,Exo70
52,63,3226,64.08955275,3723.236516,Exo70
53,64,1888,49.02934081,3447.860699,Exo70
54,65,3012,61.92735671,3159.267264,Exo70
55,67,1488,43.52677845,5162.677419,Exo70
56,68,1715,46.72906825,4427.990671,Exo70
57,69,868,33.24412617,3452.366359,Exo70
58,70,2046,51.03967191,5052.264907,Exo70
59,71,553,26.53491037,3509.307414,Exo70
60,72,454,24.04268607,3331.352423,Exo70
61,73,1235,39.65414023,3425.996761,Exo70
62,74,1410,42.37060016,4086.758865,Exo70
63,75,2690,58.52362237,3727.904089,Exo70
64,77,1571,44.7242588,4966.585614,Exo70
0,1,3629,67.97489469,3083.706806,Exo70
1,3,3403,65.82426734,4173.012636,Exo70
2,6,3870,70.19570527,3328.438243,Exo70
3,8,3193,63.76091174,3177.650799,Exo70
4,9,3097,62.79508635,3486.825315,Exo70
5,10,2815,59.8679323,4040.909414,Exo70
6,11,3038,62.19406513,4787.384134,Exo70
7,12,3884,70.32255962,3161.089598,Exo70
8,13,2997,61.77296266,3274.113447,Exo70
9,14,3485,66.61261002,3211.748637,Exo70
10,16,2875,60.50259243,4105.851478,Exo70
11,17,3055,62.36783473,3319.070049,Exo70
12,18,2793,59.63353124,3372.956319,Exo70
13,19,3123,63.05812476,3470.857509,Exo70
14,20,2204,52.97376668,3272.288566,Exo70
15,21,3291,64.73199627,3472.96931,Exo70
16,23,3369,65.49461067,3380.36539,Exo70
17,24,2537,56.83492522,3275.181317,Exo70
18,25,1971,50.0954603,3730.898021,Exo70
19,26,3115,62.97730688,4313.694703,Exo70
20,27,2724,58.89231291,4368.996329,Exo70
21,28,2147,52.28427395,3479.233815,Exo70
22,29,1812,48.03238548,3256.233444,Exo70
23,30,2641,57.98815084,3370.752745,Exo70
24,31,2054,51.13935886,3265.203992,Exo70
25,32,3035,62.16334948,4330.387479,Exo70
26,33,2511,56.54294383,3171.208682,Exo70
27,34,3678,68.43226611,3180.612833,Exo70
28,36,2578,57.2923341,3631.842514,Exo70
29,37,3018,61.98900665,3681.022531,Exo70
30,39,2220,53.16570125,3166.195495,Exo70
31,40,2157,52.40589373,3633.804358,Exo70
32,41,2852,60.2600961,3476.524194,Exo70
33,42,1903,49.22372247,4529.087231,Exo70
34,43,1966,50.03187929,5478.09766,Exo70
35,44,2231,53.29725532,3811.704617,Exo70
36,46,2140,52.1989715,3491.879439,Exo70
37,47,4546,76.07987231,3811.91905,Exo70
38,48,1385,41.99329434,3507.186282,Exo70
39,49,1719,46.78353105,3220.723095,Exo70
40,50,2214,53.0938071,3487.633243,Exo70
41,52,1316,40.93388866,4854.87614,Exo70
42,53,1530,44.13679308,3719.686275,Exo70
43,54,3290,64.72216083,3659.323404,Exo70
44,55,382,22.05396804,3324.91623,Exo70
45,56,1677,46.20847018,3283.209302,Exo70
46,57,1601,45.14926922,3518.548407,Exo70
47,58,2000,50.46265044,3605.828,Exo70
48,59,1936,49.64868335,3624.919421,Exo70
49,60,2020,50.71433604,3621.705446,Exo70
0,1,3477,66.53610972,3329.316365,Exo70
1,2,3101,62.83562547,3373.273783,Exo70
2,3,3050,62.31677632,3151.839016,Exo70
3,4,2643,58.01010357,3577.218691,Exo70
4,5,2885,60.60772299,3408.499133,Exo70
5,6,3307,64.88916069,3274.220441,Exo70
6,7,2832,60.04843371,3084.066737,Exo70
7,8,2406,55.34811961,3282.89734,Exo70
8,9,3272,64.54486649,3188.646699,Exo70
9,10,2796,59.66554925,3235.652003,Exo70
10,11,2450,55.85191926,3197.133061,Exo70
11,12,3882,70.30445158,3047.976558,Exo70
12,13,2827,59.99540143,3243.691546,Exo70
13,14,2904,60.80697031,3292.174242,Exo70
14,15,2680,58.41474112,3692.053731,Exo70
15,16,3243,64.2581967,3281.546716,Exo70
16,17,2137,52.1623706,3073.832943,Exo70
17,18,734,30.57053853,3413.858311,Exo70
18,19,2875,60.50259243,3327.893217,Exo70
19,20,1984,50.26039451,3378.215726,Exo70
0,3,2887,60.62872723,4694.527537,Exo70
1,5,3042,62.23499574,4174.999014,Exo70
2,6,2898,60.74412071,5167.679089,Exo70
3,7,2731,58.96793363,2986.80703,Exo70
4,8,2486,56.26076349,4429.047868,Exo70
5,10,2935,61.13066386,3433.365247,Exo70
6,11,3441,66.19076426,3866.243824,Exo70
7,12,3247,64.29781335,3354.422236,Exo70
8,13,2762,59.30166627,3151.360608,Exo70
9,14,2849,60.22839416,3510.325728,Exo70
10,15,3170,63.53085358,3004.817981,Exo70
11,16,3050,62.31677632,3272.374426,Exo70
12,17,2437,55.70354361,4605.801805,Exo70
13,18,2617,57.72406681,3247.387849,Exo70
14,19,2561,57.1031214,3535.956658,Exo70
15,20,3130,63.12875553,3202.811821,Exo70
16,21,2557,57.05850958,3391.705905,Exo70
17,22,2268,53.73739189,3413.130952,Exo70
18,23,3639,68.06848539,3371.744435,Exo70
19,24,3488,66.64127499,3613.373853,Exo70
20,25,2047,51.05214342,3041.249145,Exo70
21,27,2879,60.54466656,3063.941299,Exo70
22,28,2732,58.97872868,3302.464495,Exo70
23,29,3455,66.32527894,3300.873806,Exo70
24,30,2756,59.23721959,3812.41836,Exo70
25,31,3607,67.76854018,3816.061547,Exo70
26,32,2161,52.45446269,4574.288755,Exo70
27,33,2568,57.18110834,4478.036215,Exo70
28,34,3631,67.99362313,3628.225558,Exo70
29,35,2557,57.05850958,3097.838483,Exo70
30,36,2107,51.79493914,3035.824395,Exo70
31,37,1823,48.17795855,3238.053209,Exo70
32,38,1969,50.07003758,3460.039106,Exo70
33,39,2581,57.32565974,4573.74816,Exo70
34,40,2304,54.16220002,3472.690538,Exo70
35,41,2148,52.29644866,3281.05121,Exo70
36,42,3261,64.43627981,5603.146274,Exo70
37,43,2845,60.18609893,4411.576098,Exo70
38,44,2690,58.52362237,3864.467286,Exo70
39,46,2729,58.94633761,4716.548919,Exo70
40,47,2670,58.30565654,4156.552434,Exo70
41,48,1698,46.49688965,4639.233216,Exo70
42,49,1803,47.91295127,3130.555186,Exo70
43,50,2416,55.46302138,4048.787252,Exo70
44,51,2217,53.12976633,3353.292287,Exo70
45,52,3137,63.19930737,3228.353522,Exo70
46,53,1717,46.75630758,3298.638323,Exo70
47,54,2338,54.56037074,4512.053892,Exo70
48,55,1601,45.14926922,3109.24797,Exo70
49,56,1868,48.7689601,2984.547645,Exo70
50,57,1791,47.75324099,3297.92239,Exo70
51,58,1871,48.80810576,3221.405131,Exo70
52,59,1525,44.06461512,3747.273443,Exo70
53,60,1474,43.32153147,3023.403664,Exo70
54,62,1090,37.25360525,6090.985321,Exo70
55,65,1968,50.05732138,3352.672256,Exo70
56,66,1174,38.66242653,3583.167802,Exo70
57,67,1794,47.79321859,3398.897436,Exo70
58,68,1183,38.81033859,3635.39645,Exo70
0,1,2243,53.4403995,3316.050825,Exo70
1,2,2543,56.90209278,3263.494298,Exo70
2,3,3566,67.38228414,3297.229669,Exo70
3,4,2283,53.91480206,3344.719667,Exo70
4,5,2934,61.12024889,3955.508521,Exo70
5,6,2584,57.35896603,4613.350619,Exo70
6,7,3388,65.67903454,3309.445691,Exo70
7,8,2646,58.04301711,3302.027211,Exo70
8,9,2411,55.40560028,3307.464123,Exo70
9,10,6480,90.83277079,3004.493364,Exo70
10,11,2596,57.49199821,3292.246918,Exo70
11,13,3440,66.18114561,3410.600872,Exo70
12,14,3123,63.05812476,3745.104387,Exo70
13,15,2679,58.40384183,3257.169466,Exo70
14,16,3880,70.28633888,3282.314433,Exo70
15,17,2658,58.17448504,3100.179458,Exo70
16,18,2275,53.82025608,3200.801319,Exo70
17,19,3300,64.82044814,3347.799091,Exo70
18,20,3869,70.18663547,3272.614888,Exo70
19,21,3049,62.30655962,3330.997048,Exo70
20,22,2730,58.95713661,3291.807692,Exo70
21,23,2987,61.66981855,3417.323401,Exo70
22,24,2939,61.17230601,3278.961892,Exo70
23,25,2192,52.82935815,3325.229471,Exo70
24,26,3373,65.53347987,3310.839609,Exo70
25,27,2416,55.46302138,3302.653146,Exo70
26,28,2799,59.69755008,4294.136835,Exo70
27,29,2843,60.16494017,3418.498769,Exo70
28,30,1129,37.91421166,4063.215235,Exo70
29,31,3131,63.13883919,3706.799425,Exo70
30,32,2138,52.17457376,3359.776894,Exo70
31,33,1746,47.14950949,3396.271478,Exo70
32,35,3481,66.57437086,3300.554151,Exo70
33,36,2507,56.49788968,3417.847627,Exo70
34,37,2143,52.23554675,3342.800747,Exo70
35,38,2067,51.30093702,3349.744074,Exo70
36,39,1911,49.32707948,3618.505495,Exo70
37,40,2071,51.35055109,4539.591502,Exo70
38,41,1902,49.21078758,3210.648791,Exo70
