,label,area,equivalent_diameter,mean_intensity,filename
0,2,2995,61.75234762,2467.215693,Exo70
1,3,3019,61.99927569,2056.319642,Exo70
2,4,2713,58.77328377,2471.089937,Exo70
3,5,2976,61.55616042,2300.718414,Exo70
4,7,3059,62.40865138,2809.860739,Exo70
5,8,1633,45.59824752,2336.050214,Exo70
6,9,3105,62.87613845,2465.233494,Exo70
7,10,3393,65.72748113,2410.221043,Exo70
8,12,2806,59.77215207,2639.340699,Exo70
9,13,3932,70.75576224,2190.761445,Exo70
10,14,2614,57.6909713,2578.424637,Exo70
11,15,3689,68.53452182,2736.362158,Exo70
12,16,3503,66.78441529,2625.580074,Exo70
13,17,2757,59.24796558,2419.974973,Exo70
14,18,2208,53.02181546,2417.70471,Exo70
15,19,2577,57.28122124,2426.021343,Exo70
16,20,2903,60.79649989,2620.261454,Exo70
17,21,3280,64.62372402,2379.412195,Exo70
18,22,2885,60.60772299,2517.039168,Exo70
19,23,3101,62.83562547,2343.135118,Exo70
20,25,3721,68.83112919,2286.732868,Exo70
21,26,3027,62.08136679,2703.76148,Exo70
22,27,3344,65.25115353,2412.657895,Exo70
23,28,3351,65.319413,2552.144733,Exo70
24,29,2028,50.81466124,2505.711045,Exo70
25,30,3575,67.46726149,2047.441678,Exo70
26,31,2248,53.49992987,2578.653025,Exo70
27,32,3159,63.42053076,2466.86673,Exo70
28,33,3104,62.86601265,2372.536405,Exo70
29,34,3092,62.74437562,2529.422704,Exo70
30,35,1871,48.80810576,2561.683592,Exo70
31,36,2519,56.63294459,2441.475586,Exo70
32,37,3413,65.92091145,3008.093173,Exo70
33,38,979,35.30582833,3524.212462,Exo70
34,39,2302,54.13868702,2501.882711,Exo70
35,42,2706,58.69741228,2648.030673,Exo70
36,45,836,32.62557677,2854.338517,Exo70
37,47,1846,48.48092614,2519.555255,Exo70
38,48,660,28.98858568,3836.204545,Exo70
39,49,1931,49.58452945,2400.716209,Exo70
40,50,1690,46.38722702,2414.999408,Exo70
41,51,2105,51.77035099,2655.107363,Exo70
42,52,2434,55.66924691,2528.452342,Exo70
43,53,2447,55.81771373,2501.615856,Exo70
