,label,area,equivalent_diameter,mean_intensity,filename
15,22,3719,68.81262869,1163.123689,Exo70
16,23,2874,60.49206933,1357.060195,Exo70
17,24,3467,66.44036049,1212.013845,Exo70
18,25,2374,54.97882028,1164.467144,Exo70
19,28,2997,61.77296266,938.5345345,Exo70
20,29,2518,56.62170232,1152.184273,Exo70
21,30,3355,65.3583864,1234.204769,Exo70
22,31,3143,63.25971774,1118.041998,Exo70
23,32,2853,60.2706597,935.5292674,Exo70
24,33,4685,77.23423637,1197.53127,Exo70
25,34,4846,78.55010397,884.4593479,Exo70
26,35,4468,75.42436136,960.2025515,Exo70
27,36,3065,62.46982635,973.4420881,Exo70
28,37,3409,65.88227082,1313.442945,Exo70
29,38,3366,65.46544361,953.2563874,Exo70
30,39,4005,71.40955382,1167.861174,Exo70
31,40,2911,60.88021283,1079.074888,Exo70
32,42,3019,61.99927569,1190.461742,Exo70
33,43,4063,71.92476813,891.0849126,Exo70
34,45,1566,44.65303044,1647.412516,Exo70
35,46,3409,65.88227082,1086.383104,Exo70
36,47,3724,68.85887063,1052.504834,Exo70
37,48,2927,61.04729435,888.3747865,Exo70
38,49,2410,55.39410892,952.2493776,Exo70
39,50,2266,53.71369293,1028.012357,Exo70
40,51,3101,62.83562547,955.0470816,Exo70
41,52,3661,68.27393334,1095.774379,Exo70
42,53,3202,63.85070886,1143.923173,Exo70
43,54,2586,57.38115947,1141.928848,Exo70
44,55,2978,61.57684114,1064.899933,Exo70
45,56,3528,67.02230311,1032.493197,Exo70
46,57,3371,65.51404815,1210.243845,Exo70
47,58,2446,55.80630723,923.212592,Exo70
48,59,3069,62.51057641,1192.309873,Exo70
49,60,3318,64.99699077,983.251959,Exo70
50,62,2460,55.96578669,1007.22439,Exo70
51,64,2878,60.53415077,1393.709173,Exo70
52,65,1098,37.39006579,1510.342441,Exo70
53,66,2546,56.93564684,1100.666143,Exo70
54,67,4415,74.97567999,1252.232616,Exo70
55,68,1819,48.12507384,1122.092358,Exo70
56,69,2962,61.41120038,1009.760635,Exo70
57,70,1421,42.53555446,1291.440535,Exo70
58,71,2501,56.43024102,811.3390644,Exo70
59,72,2474,56.12481299,1220.483832,Exo70
60,73,3393,65.72748113,918.8688476,Exo70
61,74,3454,66.3156798,1054.065142,Exo70
62,75,2182,52.70871547,1167.363886,Exo70
63,76,2920,60.97425252,1097.940068,Exo70
64,78,3146,63.28990131,1328.184679,Exo70
65,79,2911,60.88021283,975.8495362,Exo70
66,80,2799,59.69755008,843.3604859,Exo70
67,81,3996,71.32927324,980.8761261,Exo70
68,82,3644,68.11523252,877.2354555,Exo70
69,83,4042,71.73865234,927.3970807,Exo70
70,84,2181,52.69663601,1090.648785,Exo70
71,85,3363,65.43626356,813.0112994,Exo70
72,86,3759,69.1816988,1157.806597,Exo70
73,87,2710,58.74077941,1023.351292,Exo70
74,88,2600,57.53627392,947.0588462,Exo70
75,89,2446,55.80630723,1014.612428,Exo70
76,90,2837,60.10141919,903.4860768,Exo70
77,91,2337,54.54870132,1178.891314,Exo70
78,93,2478,56.17016639,977.393866,Exo70
79,94,1947,49.78953096,994.5413457,Exo70
80,96,3052,62.33720471,1194.496396,Exo70
81,98,2925,61.02643418,972.6615385,Exo70
82,99,1502,43.73106214,705.511984,Exo70
83,100,3203,63.86067853,1045.630971,Exo70
84,101,3739,68.99741051,1001.52046,Exo70
85,102,2159,52.43018384,930.9157017,Exo70
86,103,2729,58.94633761,965.2323195,Exo70
87,104,3161,63.44060372,1037.358747,Exo70
88,105,2630,57.86726192,991.5551331,Exo70
89,106,1776,47.55284883,1303.906532,Exo70
90,107,4008,71.43629396,1424.761727,Exo70
91,108,2954,61.32821223,1043.977996,Exo70
92,109,1833,48.30991705,1287.751773,Exo70
93,110,2926,61.03686515,901.8796992,Exo70
94,111,3530,67.04129767,1149.921246,Exo70
95,112,1775,47.53945931,895.1064789,Exo70
96,114,3078,62.60216704,978.5935673,Exo70
97,115,3574,67.45782485,1412.868774,Exo70
98,116,1964,50.00642425,927.1206721,Exo70
99,117,2760,59.28019183,1202.291667,Exo70
100,118,1673,46.15332879,985.2355051,Exo70
101,119,1677,46.20847018,1070.828265,Exo70
102,120,1444,42.87840835,1143.228532,Exo70
103,121,3219,64.01998199,1055.702703,Exo70
104,122,2135,52.13795573,1509.690867,Exo70
105,124,1667,46.07049295,1346.179964,Exo70
106,125,1824,48.19117066,943.5027412,Exo70
107,126,1691,46.40094902,990.2436428,Exo70
108,128,1801,47.88636988,1051.096613,Exo70
109,130,2019,50.70178144,1227.052006,Exo70
110,131,1586,44.93726647,1370.589533,Exo70
111,132,2163,52.47873031,1542.470643,Exo70
112,133,1858,48.63824703,1369.607104,Exo70
113,135,2248,53.49992987,1067.767794,Exo70
114,136,1148,38.23191072,1201.121951,Exo70
